,의안 ID,의안명,의안번호,처리결과,처리구분,의결일자,심사진행상태,제안일자,제안자구분,주요내용,소관위원회
5187,12931,도·소매업진흥법개정법률안(정부),140835,수정가결,처리의안,1994-12-15,접수,1994-10-27,정부,"■ 제안이유

流통시장개방에 대비, 유통산업을 경쟁력 강화를 위하여 도·소매업에 대한 규제를 완화하고, 판매업자 또는 
제조업자가 직접 행하는 물류활동을 원활히 하여 물류비절감을 통한 경쟁력 강화 및 물류안정을 기할 수 있도
록 하려는 것임.

■ 주요골자

1.  도·소매업진흥종합계획을 수립하는 경우 도·소매업의 진흥과 함께 무자료거래의 근절, 집배송시설의 확
    보·지원 및 流통정보화등에 관한 사항이 포함되도록 계획의 범위를 확대함(안 제3조) 

2.  시장·대형점·대규모소매점·도매센터 등 영업장별 개설허가규정을 한 개의 조문으로 통합하고 사업의 양
    도·양수에 관한 사전 승인제를 사후 신고제로 완화함(안 제6조) 

3.  流통정보화촉진을 위하여 제조업자 또는 판매업자에게 정보화의 전제조건인 공통상품코드·판매시점정보관
    이시스템도입을 권고 또는 명령할 수 있도록 함(안 제31조) 

4.  물류표준화와 물류자동화·공동화사업을 위한 상공자원부장관의 권고 및 지원근거를 마련함(안 제31조 및 
    제32조) 

5.  판매업자 및 제조업자가 집배송단지를 조성하는 경우 부지의 확보를 위한 지원을 할 수 있도록 하는 한편, 
    집배송단지의 부지확보를 용이하게 하기 위하여 공업단지의 지원시설구역안의 일정 부지를 집배송단지조성
    에도 활용할 수 있도록 함(안 제33조)



■ 위원회 수정사항


□ 수정이유

집배송센터의개념을 명확히 하고, 도·소매업진흥종합계획의 수립을 의무규정으로 변경하며, 시장 등의 개설자 
신고사항에 휴업후 영업을 재개하는 경우를 추가하는 한편, 기타 체계및 자구를 정리하려는 것임. 


□ 수정주요골자

1.  “대형점”은 도·소매가 이루어지는 영업장으로서 직영형태로 운영되며 매장의 분양을 금하도록 규정하고 
    임대不허 규정을 삭제토록 함(안 제2조제3호)

2.  “집배송센터”의 개념이 개정안에서는 건축물에 한정되어 있으나 이를 주차장 등 여타의 시설물까지 포함 
    되도록 수정함(안 제2조제10호)

3.  도·소매업진흥종합계획의 수립을 임의규정에서 의무규정으로 변경함(안 제3조제1항)

4.  시장등의 개설자 신고사항이 영업개시, 휴업, 폐업으로 되어 있는 것에 휴업후 영업재개의 경우를 추가함
    (안 제8조)



■ 기타사항

제170회국회(정기회) 제7차 상공자원위원회(1994.12. 7)상정·제안설명·검토보고·질의·답변, 법안심사소위
                    원회(1994.12.12)
제170회국회(정기회) 제9차 상공자원위원회(1994.12.13)소위원회 심사보고·의결
제170회국회(정기회) 제18차 본회의(1994.12.15)상정·의결",-
5190,12928,반도체집적회로의배치설계에관한법률중개정법률안(정부),140834,원안가결,처리의안,1994-12-16,접수,1994-10-27,정부,"■ 제안이유

지적재산권인 반도체집적회로의 배치설계권에 대한 통상利용권 설정과 배치설계권 침해시의 손해배상에 관한 
규정 등을 합리적으로 정비하여 배치설계권의 공정한 利용을 도모하고 권리자에 대한 보호를 강화하려는 것임.

■ 주요골자

1.  종전에는 타인의 배치설계권을 利용하고자 하는 자는 사전에 배치설계권자와 그 利용에 관한 협의를 하고 
    그 협의가 실패한 경우에만 상공자원부장관에게 통상利용권의 설정에 관한 재정을 신청할 수 있도록 되어 
    있었으나, 앞으로는 국가비상사태등의 긴급상황에는 이러한 협의절차를 거치지 아니하여도 재정신청을 허
    용하여 배치설계를 국내利용기회를 확대하였음(안 제13조제3항)

2.  통상利용권 설정에 관한 재정신청이 있는 경우 비상업적인 공공목적을 위하여 필요한 경우에도 재정할 수 
    있도록 하되 이 경우에는 국내수요에 한하여 利용하도록 범위을 제한하고, 재정후 利용하지 않는 경우에 
    추가하여 재정을 한 사유가 종료하고 재발할 우려가 없는 경우에도 취소할 수 있도록 하여 배치설계권의 
    공정한 利용을 도모하는 한편 권리보호를 강화하였음(안 제13조제4항 및 제15조제1항)

3.  배치설계권을 침해한 경우의 손해배상액에 대한 특例규정을 삭제하여 손해배상의 일반원칙에 따르도록 하
    여 권리자에게 不리할 수 있는 소지를 제거하였음(안 제36조제4항 및 제5항)



■ 기타사항

제170회국회(정기회) 제7차 상공자원위원회(1994.12. 7)상정·제안설명·검토보고·질의·답변, 법안심사소위                     원회(1994.12.12)
제170회국회(정기회) 제9차 상공자원위원회(1994.12.13)소위원회 심사보고,의결
제170회국회(정기회) 제19차 본회의(1994.12.16)상정·의결",-
5193,12923,염관리법중개정법률안(정부),140833,철회,처리의안,1995-11-21,접수,1994-10-27,정부,"■ 제안이유

행정규제완화 차원에서 기계염·재제염·가공염에 대한 제조허가제를 신고제로 전환하여 염생산을 희망하는 신
규업체의 자유로운 참여가 가능하도록 하고, 가공염중 일부가 건강보조식품으로 사용되고 있는 점에 비추어 이
를 보건사회부로 이관하여 관리하도록 하려는 것임.

■ 주요골자

1.  종전에는 모든 염에 대하여 제조허가를 받도록 하였으나 앞으로는 기계염·재제염·가공염에 대한 제조허
    가제를 신고제로 전환하여 민원인의 편의를 도모함(안 제3조)

2.  종전에는가공염중 세척·분쇄·압축외의 방법으로 가공한 염에 관한 제조·생산의 신고 및 염의 규격·품
    질검사 등에 관한 사항을 상공자원부장관이 관리하였으나 앞으로는 보건사회부장관이 이를 관리하도록 함
    (안 제3조 및 제5조)
",-
5196,12932,국가유공자예우등에관한법률중개정법률안(정부),140828,수정가결,처리의안,1994-12-16,접수,1994-10-27,정부,"■ 제안이유

순국선렬·애국지사禮우에관한법률의 제정에 따라 순국선렬·애국지사와 관련된 사항을 정비하고, 4·19의 개
염이 “4·19의거”에서 “4·19혁명”으로 재조명됨에 따라 4·19의거사망자 및 4·19의거상이자를 각각 4·
19혁명사망자 및 4·19혁명부상자로 하며, 기타 일부 미비점을 보완하려는 것임.

■ 주요골자

순국선렬·애국지사는 국가유공자로 하되 따로 법률이 정하는 바에 따라 禮우를 받도록 하고, 무공·보국수훈
자를 무공수훈자와 보국수훈자로 분리하여 규정하며, 4·19의거사망자 및 4·19의거상이자를 각각 4·19혁명
사망자 및 4·19혁명부상자로 함(안 제4조)



■ 위원회 수정사항


□ 수정이유

국가유공자와 그 유족의 사생활보호를 위하여 소득 및 재산에 관한 자료요청근거를 삭제하고, 일부용어를 정비
하려는 것임. 


□ 수정주요골자

1.  국가유공자와 그 유족의 소득 및 재산에 관한 자료요청은 국가유공자와 그 유족의 사생활 보호차원에서 바
    람직하지 아니하므로 이를 삭제함(원안 제7조의2)

2.  정부가 제출한 순국선렬·애국지사禮우에관한법률안이 당위원회에서 폐안되고 독립유공자禮우에관한법률안
    이 대안으로 채택되었으므로 순국선렬·애국지사禮우에관한법률을 인용한 조항을 독립유공자禮우에관한법
    율을 인용하는 것으로 수정함(안 제4조제1항제1호 및 제2호)



■ 기타사항

제170회국회(정기회) 제6차 보건사회위원회(1994.12. 9)상정, 제1차 소위원회(1994.12.13)수정의결
제170회국회(정기회) 제7차 보건사회위원회(1994.12.14)수정의결
제170회국회(정기회) 제19차 본회의(1994.12.16)상정·의결",-
5199,12927,순국선열·애국지사예우에관한법률안(정부),140827,대안반영폐기,처리의안,1994-12-16,대안반영폐기,1994-10-27,정부,"■ 제안이유

광복 50주년을 계기로 현재 국가유공자禮우등에관한법률에서 성격이 다른 국가유공자와 같이 규정되어 있는 순
국선烈 및 애국지사를 별도 입법함으로써 순국선렬 및 애국지사의 공헌과 희생을 정당하게 재평가하고, 순국선
열·애국지사사업기金을 이 법에서 규정함으로써 법률체계를 조정하며, 기타 순국선렬·애국지사 禮우의 일부 
미비점을 보완하려는 것임.

■ 주요골자

1.  국가는 순국선렬·애국지사의 애국정신을 기리고 이를 계승·발전시켜 민족정기를 선양하며, 순국선렬·애
    국지사禮우의 기본리념을 구현하기 위한 시책을 강구함(안 제3조)

2.  이 법에 의한 보상을 받는 유족 또는 가족의 범위를 정함(안 제5조)

3.  이 법의 적용대상자에 대한 禮우는 의전상의 禮우·보상金·교육보호·취업보호·의료보호·대부·양로보
    호·양육보호·수송시설의 利용보호·고궁등의 利용보호·주택의 우선분양 및 국립묘지에의 안장으로 함
    (안 제11조 내지 제26조)

4.  독립운동공적에 중대한 흠결이 있는 것으로 거증자료에 의하여 확인된 자 등을 이 법의 적용대상에서 제외
    함(안 제40조제1항제3호)



■ 기타사항

제170회국회(정기회) 제6차 보건사회위원회(1994.12. 9)상정·소위원회 회부
                    제2차 법안심사소위원회(1994.12.13)질의·토론
제170회국회(정기회) 제7차 보건사회위원회(1994.12.14)소위원장 보고·의결
제170회국회(정기회) 제19차 본회의(1994.12.16)상정·의결",-
5202,12926,토양환경보전법안(정부),140826,수정가결,처리의안,1994-12-16,접수,1994-10-27,정부,"■ 제안이유

토양오염물질의 사용량 증가와 폐기물매립지 등 토양오염유발 시설에 의한 토양오염의 요인이 계속 증가하고 
있고 金속광산지역등의 토양오염이 심화되고 있으나 개별 법률에서 단편적으로 이를 규제하는 것만으로는 효과
적인 대처가 어려우므로, 토양오염의 사전예방 및 오염된 토양의 개선 등에 관한 종합적인 관리체제를 마련함
으로써 토양보전을 보다 체계적이고 적극적으로 추진하려는 것임.



■ 주요골자

1.  환경처장관 및 시·도지사는 토양오염실태를 파악하기 위하여 토양측정망을 당시운영하고, 토양정밀조사를 
    실시하며, 측정된 결과를 공개하도록 함(안 제5조) 

2.  토양오염유발시설을 설치하고자 하는 자는 시·도지사에게 신고를 하고 토양오염방지조치를 하며, 정기적
    으로 전문기관으로 부터 토양오염검사를 받아 그 결과를 기록·비치하도록 함(안 제11조) 

3.  시·도지사는 토양오염유발시설의 설치자가 토양오염방지조치를 하지 아니하거나 토양오염검사결과 토양오
    염우려기준을 초과하는 경우에는 시정명령을 하고, 시정명령을 이행하지 아니하거나 이행하더라도 그 토양
    오염의 정도가 토양오염우려기준이하로 개선될 가능성이 없다고 인정되는 경우에는 당해 토양오염유발시설
    의 폐쇄·철거·사용중지 등을 명할 수 있도록 함(안 제12조) 

4.  사람의 건강 및 재산과 동·식물의 생육에 지장을 초래할 우려가 있는 토양오염우려기준과 동기준을 초과
    하여 사람의 건강 등에 지장을 주어서 토양오염에 대한 대책을 필요로 하는 토양오염대책기준을 정하고, 
    환경처장관 또는 시·도지사는 이들 기준을 초과할 때에는 각각 토양오염방지조치를 명하거나 그 지역을 
    토양보전대책지역으로 지정할 수 있도록 함(안 제14조 내지 제17조) 

5.  시·도지사는 토양보전대책지역에 대한 오염토양개선사업 및 토지 등의 利용방안 등을 포함한 대책계획을 
    수립·시행하되, 오염토양개선사업은 오염원인자로 하여금 실시하게 할 수 있도록 함(안 제18조 및 제
    19조)

6.  시·도지사는 토양보전대책지역안에서는 그 지정목적을 해하는 토지의 이용 등을 제한할 수 있도록 하고, 
    누구든지 동지역안에서는 특정수질유해물질·폐기물·분뇨등을 버리거나 그 지정목적을 해하는 시설을 설
    치할 수 없도록 함(안 제20조 및 제21조) 

7.  토양보전대책계획을 수립·시행으로 토양오염의 정도가 토양오염우려기준 이내로 개선되었거나 대책지역으
    로서의 지정목적이 상실된 경우에는 그 지정을 해제 또는 변경할 수 있도록 함(안 제22조) 

8.  오염원인자가 토양오염방지조치 또는 오염토양개선사업등을 이행하지 아니할 때에는 시·도지사가 이를 대
    집행하고, 그 비용을 오염원인자로부터 징수할 수 있도록 함(안 제24조) 



■ 위원회 수정사항


□ 수정이유 및 주요골자

안 제12조제1항에서는 시·도지사는 토양오염유발시설의 설치자에 대하여 “그 시정을 명하거나 필요한 조치를 
할 수 있다”를 “그 시정 등 필요한 조치를 명할 수 있다”로 하고, 동조 제2항에서 “그 명령을 이행하더라
도....우려기준이하로 내려갈 가능성이 없다고 인정되는 경우에는 그 토양오염유발시설의 폐쇄·철거·사용중
지 등을 명할 수 있다”를 “그 명령을 이행하였더라도...우려기준이내로 내려가지 아니한 경우에는 그 토양오
염유발시설의 사용중지를 명할 수 있다”로 수정함으로써 토양오염유발시설 설치자에 대한 명령을 명확히 하고 
국민의 재산권 규제에 보다 신중을 기하도록 한 것임.




■ 기타사항

제170회국회(정기회) 제9차 노동환경위원회(1994.12. 9)상정
                    제3차 법안심사소위원회(1994.12.12)심사·수정의결
제170회국회(정기회) 제10차 노동환경위원회(1994.12.13)소위원장심사결과보고 및 수정의결
제170회국회(정기회) 제19차 본회의(1994.12.16)상정·의결",문화관광위원회
5205,12922,행형법중개정법률안(정부),140825,대안반영폐기,처리의안,1994-12-23,대안반영폐기,1994-10-27,정부,"■ 제안이유

교육형주의의 이념에 입각하여 제정된 현행 행형법은 현대적 행형의 기본법으로서 그 역할을 수행하여 왔으나 
그 동안의 시대적 변화에 따라 일부 부적합한 규정을 개선·보완하고, 사회복귀에 적합한 교정프로그램인 외부
통근작업과 개방처우제도를 새로 도입함으로써 교정선진화를 도모하려는 것임.

■ 주요골자

1.  미결수용자에 대한 준용규정의 정비

    무죄추정을 받는 미결수용자는 형이 확정된 수형자와 수용목적이 다르므로 법적용을 구분하여야 함에도 불
    구하고 현재는 미결수용자에 대하여 특별한 규정이 없는 한 수형자에 관한 규정을 포괄적으로 준용하도록 
    하고 있는 바, 이러한 포괄적 준용규정을 삭제하고, 각 조문별로 수형자에게만 적용되는 규정, 수형자와 
    미결수용자에 공통적으로 적용되는 규정, 미결수용자에게만 적용되는 규정으로 구분하여 규정함(안 제6조
    ·제62조) 

2.  접견·서신수발 제한의 대폭완화

    현재는 친족이 아닌 자와의 접견과 서신은 필요한 용무가 있을 때에 한하여 허가하고 있으나 앞으로는 교
    화상 또는 처우상 특히 부적당한 사유가 없는 한 원칙적으로 허가하도록 접견·서신수발의 제한을 대폭완
    화함(안 제18조제2항) 

3.  미결수용자의 자비부담규정 수정·보완

    현재 미결수용자의 식량과 의류는 자비부담을 원칙으로 규정하고 있으나, 실제대부분 관급하고 있으며 또
    한 수용생활에 필요불가결한 식량과 의류는 급부행정적 차원에서도 관급으로 하는 것이 바람직하므로 이를 
    관급원칙으로 변경하되, 자비부담을 원하는 자에게는 현재와 같이 자비부담을 허용하도록 함(안 제20조 내
    지 제22조 등) 

4.  개방처우와 외부통근작업의 근거규정 신설

    현재 수형자에 대한 개방처우와 외부통근작업은 例규에 의하여 부분적으로 실시하고 있으나 법률에 그 실
    시근거를 명시하여 선진교정제도의 조기정착과 지속적인 활성화를 통하여 수형자의 사회복귀를 위한 적응
    능력을 증대하도록 함(안 제35조제2항 및 제3항, 제44조제2항) 

5.  부적합한 징벌의 종류 삭제

    징벌의 종류중 7일이내의 감식, 2월이내의 접견·서신금지, 2월이내의 작업정지, 5일이내의 운동정지를 삭
    제하고, 3월이내의 도서열독금지를 1월이내의 도서열람제한으로 기간을 단축하여 인도적 처우와 교육형의 
    이념에 맞도록 징벌의 종류를 대폭정비함(안 제46조 제2항) 

6.  미결수용자와 변호인 접견시 立회금지 규정 신설미결수용자와 변호인(변호인이 되려고 하는 자를 포함)과
    의 접견에는 교도관이 참여하거나 그 내용을 청취 또는 녹취하지 못하도록 명문화함(안 제66조)



■ 기타사항

제170회국회(정기회) 제10차 법제사법위원회(1994.12.13)상정·대체토론·소위원회 회부
제171회국회(임시회) 제1차 법제사법위원회(1994.12.22)소위원회 심사보고·의결(폐기)
제171회국회(임시회) 제2차 본회의(1994.12.23)보고",-
5208,12925,교육법중개정법률안(정부),140824,원안가결,처리의안,1994-12-15,접수,1994-10-27,정부,"■ 제안이유

많은 국민학교 교원이 대학원 진학을 희망하고 있고 교육대학이 2년제에서 4年제로 개편된 지 10여년이 경과하
여 대학원 과정의 설치·운영에 필요한 인력·시설 등의 교육여건이 구비되었으므로 교육대학에 초등교육을 전
공하는 대학원을 설치할 수 있도록 하고, 영재성이 있는 우수한 학생에게 능력에 따라 조기진급 또는 조기졸업
등을 할 수 있는 기회를 부여하여 교육의 수월성을 추구할 수 있도록 함으로써 미래의 첨단 지식·정보사회에 
대비한 인재를 육성하려는 것임.

■ 주요골자

1.  국민학교 교육의 발전을 도모하기 위하여 교육대학에 초등교육을 전공하는 대학원을 설치할 수 있도록 함
    (안 제118조) 

2.  국민학교 및 중·고등학교와 이에 준하는 각종학교의 학생중에서 재능이 우수한 자에 대하여는 그의 잠재
    된 능력을 최대한 계발할 수 있도록 조기진급·조기졸업 또는 상급학교로의 조기입학이 가능하도록 하기 
    위하여 수업年한의 단축 및 수업상의 특례를 허용할 수 있도록 함(안 제154조의2)                      
     
               


■ 기타사항

제170회국회(정기회) 제6차 교육위원회(1994.12. 8)상정·소위원회 회부
제170회국회(정기회) 제7차 교육위원회(1994.12.12)소위원회 심사보고·의결
제170회국회(정기회) 제18차 본회의(1994.12.15)상정·의결",-
5211,12924,지방자치단체에두는국가공무원의정원에관한법률안(정부),140823,원안가결,처리의안,1994-12-02,접수,1994-10-27,정부,"■ 제안이유

종전에는 지방자치단체에 두는 국가공무원의 정원에 관한 사항은 대통령령으로 정하도록 하고 있었으나 앞으로
는 법률로 정하도록 지방자치법이 개정(1994. 3.16, 법률 제4741호)됨에 따라 지방자치단체에 두는 국가공무원
의 정원에 관한 사항을 정하려는 것임.

■ 주요골자

1.  지방자치단체에 두는 국가공무원의 정원의 범위를 정함(안 제2조)
     
2.  지방자치단체에 두는 국가공무원의 직급별 정원등에 관한 사항은 대통령령으로 정하도록 함(안 제3조) 

3.  현재 지방자치단체에 두고있는 국가공무원중 지방공무원으로 신분이 전환되어야 할 공무원은 1997년 1월 1
    일까지 年차적으로 지방공무원으로 임용되도록 함(안 부칙 제2조) 



■ 기타사항

제170회국회(정기회) 제5차 행정경제위원회(1994.12. 1)상정·의결
제170회국회(정기회) 제16차 본회의(1994.12. 2)상정·의결",국회운영위원회
5214,12904,예산부정방지에관한특별법안(이기택의원등 23인 외 76인),140799,임기만료폐기,처리의안,1996-05-29,접수,1994-10-26,의원,"■ 제안이유

상무대이전사업에 대한 국회국정조사와 栗곡사업에 대한 감사 등을 통해서 국민의 세금으로 조성된 예산사업에
서 대규모적이고 구조적인 예산불정행위가 확인되었다.
또한 최근에 밝혀진 인천직할시 북구청의 세금횡령사건으로 모든 국민들이 경악과 분노에 휩싸여 있다. 
이에 국민의 세금으로 조성되고 운용되는 국가재정 전반에 대한 부정을 근본적으로 근절하기 위한 제도적 장치
마련이 시급하다. 
현행 우리나라 법령에는 예산불정을 저지른 자가 국가에 끼친 손해액을 회수할 수 있는 근거규정이 미비하고, 
국민 개개인이 예산불정을 고발하는 경우 이를 보호하고 조장하는 장치가 미흡한 실정이다. 미국의 경우 회계
검사원(우리나라의 감사원에 해당)이 의회내에 소속되어 있어 의회의 예산심의기능과 감사기능이 결합되어 있
음에도 불구하고 일찍부터 ‘불정청구법’'을 제정하여 운용하고 있다.
‘불정청구법’은 1863년 아브라함 링컨의 주도로 제정되었다가 1986년 미상원의원 찰스 그래스리의 주도로 대
폭 개정된 법이다.
그 주된 내용은예산 불정을 저지른자는 국가에 끼친 손해액의 3배를 배상해야 하며, 국민 개개인의 예산불정에 
대한 고발을 장려하고 있다.
이에 심각한 지경에 이른 우리나라의 예산불정에 대한 제도적 대책을 시급히 마련할 필요가 있다.
즉 납세의무를 지고 있는 국민 개개인의 납세자로서의 권리측면에서 예산불정행위에 대한 감시·감독권을 보장
해 주고 이를 통해 예산불정행위를 시정할 수 있는 권리를 보호하려는 것이다.


■ 주요골자

1.  모든 국민이 납세자로서 예산집행을 비롯한 국가자산운용의 부정행위에 관하여 감사원에 그 조사의 청구를 
    할 수 있도록 함(안 제4조)

2.  감사원은 예산불정행위를 발견한 자가 청구를 할 때 이를 60일 이내에 조사하여 청구인에게 통고하여야 함
    (안 제6조)

3.  청구에 의해 정부가 예산불정행위에 따라 발생한 손해를 회수할때 청구인은 회수액의 100분의15 이하에 상
    당한 금액을 교부받도록 함(안 제9조)
 
4.  청구인이 청구를 하였다는 사실로 인해 어떠한 신분상의 불이익을 당하지 않도록 함(안 제10조)

",-
5286,12892,도로등교통시설특별회계법중개정법률안(정부),140787,원안가결,처리의안,1994-12-02,접수,1994-10-20,정부,"■ 제안이유

수도권신공항건설업무가 한국공항공단에서 1994.9.1일자로 설립된 수도권신공항건설공단으로 이관됨에 따라
수도권신공항건설사업을 차질없이 수행하기 위하여 한국공항공단의 국제려객공항利용료 수입을 수도권신공항건
설 1단계 사업이 완료되는 1999.12.31까지 한시적으로 도로등교통시설특별회계의 고속철도 및 공항계정의 세입
으로 추가하려는 것임.



■ 주요골자

1.  고속철도 및 공항계정의 세입에 항공법 제86조에 의한 사용료중 국내려객공항利용료 및 항공보안시설사용
    요외에 국제려객공항利용료를 추가함(안 제6조제1항제2호의2) 

2.  국제려객공항利용료를 고속철도 및 공항계정의 세입에 편입하는 유효기간은 1999년12월31일까지로 함(안 
    부칙 제2항) 



■ 기타사항

제170회국회(정기회) 제4차 교통위원회(1994.12.28)상정·제안설명·검토보고·질의·답변·소위회부
                    제1차 법안 및 예산안심사소위원회(1994.12.28)질의·답변 및 심사, 심사결과보고서작성
제170회국회(정기회) 제5차 교통위원회(1994.12. 1)소위원회 심사보고·의결
제170회국회(정기회) 제16차 본회의(1994.12. 2)상정·의결",건설교통위원회
5289,12891,비송사건절차법중개정법률안(정부),140786,원안가결,처리의안,1994-12-17,접수,1994-10-20,정부,"■ 제안이유

상업등기 등·초본발급의 지연을 해소하고, 상업등기부를 효율적으로 관리하기 위하여 전산정보처리조직을 도
입함에 따라 그 근거규정과 그와 관련된 현행 부책식 등기부규정과의 모순점을 보완하는 특례규정을 신설하려
는 것임.

■ 주요골자

1.  상업등기사무의 전부 또는 일부를 전산정보처리조직에 의하여 처리할 수 있도록 하고, 이 경우 등기사항이 
    등록된 자기디스크를 등기부로 보며, 등기소에는 자기디스크외에 부책식 등기부는 이를 두지 아니할 수 있
    도록 함(안 제238조의2) 

2.  전산정보처리조직에 의하여 등기사무를 처리하는 경우에 등기부의 열람은 등기부에 기록된 필요한 사항을 
    기재한 서면의 교부를 청구하는 방법으로 할 수 있도록 함(안 제238조의3) 

3.  전산정보처리조직에 의하여 등기사무를 처리하는 경우에, 등기용지에 지방법원장의 직인을 날인하도록한 
    규정을 적용하지 아니하며, 부책식 폐소등기부를 두지 아니할 수 있도록 함(안 제238조의4)



■ 기타사항

제170회국회(정기회) 제10차 법제사법위원회(1994.12.13)상정·대체토론·소위원회 회부·법안심사
                    제1소위원회(1994.12.14)심사·의결
제170회국회(정기회) 제11차 법제사법위원회(1994.12.14)소위원회심사보고·의결
제170회국회(정기회) 제20차 본회의(1994.12.17)상정·의결",-
5292,12890,전염병예방법중개정법률안(정부),140785,원안가결,처리의안,1994-12-16,접수,1994-10-18,정부,"■ 제안이유

만성 B형간염에 대한 예방노력을 증진시키기 위하여 동 질환을 제3종 법정전염병에 포함시키고, 지방자치의 실
시와 관련하여 전염병예방업무의 주무관청을 변경하려는 것임.

■ 주요골자

1.  B형간염 보균자가 국민의 10퍼센트로 추정되어 국민보건을 위한 국가의 중대한 보건과제로 대두됨에 따라 
    만성 B형간염을 제3종 법정전염병에 포함시키고, B형간염을 정기예방접종 시행의 대상에 추가하여 B형간염
    에 대한 예방노력을 증진하고자 함(안 제2조 및 제11조)
     
2.  현재 예방접종실시 및 관리기관이 서울특별시장·직할시장 또는 시장·군수로 되어 있으나, 지방자치의 본
    격적인 실시에 대비하여 앞으로는 시장·군수·구청장으로 변경함(안 제4조·제5조·제6조 등)



■ 기타사항

제170회국회(정기회) 제5차 보건사회위원회(1994.12. 8)상정·질의·법안심사소위원회 회부, 제1차 법안심사소
                    위원회(1994.12.12)질의·답변·의결
제170회국회(정기회) 제7차 보건사회위원회(1994.12.14)소위원회 보고·의결
제170회국회(정기회) 제19차 본회의(1994.12.16)상정·의결",-
5295,12888,기금관리기본법중개정법률안(정부),140784,원안가결,처리의안,1994-12-02,접수,1994-10-17,정부,"■ 제안이유

재정운용의 투명성과 효율성을 제고하기 위하여 규모가 영세한 기金, 장기간 조성되지 아니한 기金 및 별도기
金으로 존치할 실익이 없는 기金 등을 정비하려는 것임.

■ 주요골자

1.  규모가 영세한 식품진흥기金, 산업디자인·포장진흥기金, 산업설비수출기金 및 한국농업기술훈련소운영기
    金의 설치근거법률을 정비함(안 별표 및 부칙 제2조제1항 내지 제3항) 

2.  장기간 조성되지 아니한 낙농진흥기金·바르게살기운동기金·학술연구진흥기金 및 모자보건기金의 설치근
    거법률을 정비함(안 별표 및 부칙 제2조제4항 내지 제7항) 

3.  별도기金으로 존치할 실익이 없는 산업인력관리공단관리기金 및 산업안전공단관리기金의 설치근거법률을 
    정비함(안 별표 및 부칙 제2조제8항 및 제9항) 

4.  특별회계로 흡수되어 1995년도부터 폐지될 예정으로 있는 석유사업기金 및 폐기물관리기金 등 8개 기金의 
    설치근거법률을 삭제함(안 별표) 



■ 기타사항

제170회국회(정기회) 제5차 행정경제위원회(1994.12. 1)상정·의결
제170회국회(정기회) 제16차 본회의(1994.12. 2)상정·의결",-
5298,12887,독점규제및공정거래에관한법률중개정법률안(정부),140783,원안가결,처리의안,1994-12-02,접수,1994-10-17,정부,"■ 제안이유

대규모기업집단의 소유집중 및 무리한 계열기업의 확장 등 경제력집중의 폐해를 시정하고, 사회간접자본시설에
대한 민자유치 및 업종전문화 등 당면한 국가경쟁력강화시책을 효율적으로 지원하기 위하여 현행 출자규제제도
를 보완하는 한편, 세계무역기구(WTO)체제출범에 따라 가속화되고 있는 개방화·국제화에 부응하여 공정거래제
도를 국제적 기준에 맞게 개선하고, 기타 현행규정의 운영상 나타난 미비점을 보완하려는 것임.

■ 주요골자

1.  대규모기업집단의 건실한 성장발전을 유도하기 위하여 출자총액한도를 현행 순자산의 100분의 40에서 100
    분의 25로 인하하는 한편, 출자총액한도를 초과하는 부분은 법 시행일로부터 3년이내에 이를 해소하도록 
    함(안 제10조제1항 및 부칙 제2항) 

2.  증자 또는 주식배당으로 인한 출자와 산업의 국제경쟁력강화를 위한 출자에 적용되고 있는 출자총액제한의 
    예외 인정기간을 현행 1년과 5년에서 2년과 7년으로 각각 연장함(안 제10조제1항제2호 및 제5호) 

3.  사회간접자본시설에 대한 민간자본의 유치를 촉진하기 위하여 사회간접자본시설에대한민간자본유치촉진법
    에 의한 제1종시설사업을 시행하는 사업자에 대하여는 출자총액제한의 예외를 인정하고, 그 기간은 20년이
    내로 하되, 필요한 경우 10년이내의 범위내에서 이를 연장할 수 있도록 함(안 제10조제2항) 

4.  소유의 분산및 재무구조의 건실화를 적극 유도하기 위하여 일정요건을 갖춘 기업에 대하여는 출자총액제한
    규정을 적용하지 아니하도록 함(안 제10조제3항) 

5.  종전에는 상품판매 및 용역제공 등 공급측의 공동행위만 규제할 수 있도록 하였으나 앞으로는 구매관련 공
    동행위까지 규제할 수 있도록 함(안 제19조제1항) 

6.  부당한 공동행위에 대한 과징金을 현행 매출액의 100분의 1이내에서 100분의 5이내로 상향 조정하고, 不공
    정거래행위에 대한 과징金을 현행 3천만원이하에서 매출액의 100분의 2이하로 변경함(안 제22조제1항 및 
    제24조의2제1항) 

7.  재판매가격유지행위에 대하여도 不공정거래행위와 같이 매출액의 100분의 2이내의 범위안에서 과징金을 부
    과할 수 있도록 함(안 제31조의2제1항) 

8.  선진기술도입을 원활하게 할 수 있도록 국제계약의 체결에 대한 신고제도를 폐지하고 不공정국제계약에 대
    하여는 매출액의 100분의 2이내의 범위안에서 과징金을 부과할 수 있도록 함(안 제33조 및 제34조의2제
    1항) 

9.  이 법 위반행위가 종료된 날부터 5년이 경과된 사건에 대하여는 시정조치 및 과징金의 납부를 명하지 아니
    하도록 함(안 제49조제3항)



■ 기타사항

제170회국회(정기회) 제5차 행정경제위원회(1994.12. 1)상정·의결
제170회국회(정기회) 제16차 본회의(1994.12. 2)상정·의결",-
