,의안번호,의안명,제안일자,제안자구분,의결일자,의결결과,제안회기,제안이유,소관위원회,제안자,발의자,제안정당,성별,여성의원 수
42,1814177,범죄수익은닉의 규제 및 처벌 등에 관한 법률 일부개정법률안,2011-12-14,정부,2012-05-29,임기만료폐기,제18대 (2008~2012) 제303회,"   ？？？？범죄단체 조직, 뇌물 수수 등의 행위로 취득한 범죄수익이 은닉ㆍ가장(假裝)되어 축적되거나 다른 범죄에 사용되는 것을 차단하기 위하여 신고자나 몰수ㆍ추징에 공로가 있는 자에 대한 포상 제도를 도입하는 한편, 유사석유제품의 제조ㆍ유통, 아동ㆍ청소년을 이용한 영업 등 부정한 이익을 얻기 위한 범죄 중 폐해가 심각한 범죄에 대해서는 범죄수익의 은닉ㆍ가장 및 수수 행위를 처벌하고 그 범죄수익도 몰수ㆍ추징하려는 것임. ？？？？가. 범죄수익 환수 기여자에 대한 포상금 지급(안 제13조 신설)1) 범죄수익이 다양한 경로를 통하여 은닉되거나 합법적인 수입으로 탈바꿈하여 축적됨으로써 거래 질서와 경제 정의를 왜곡시키고, 다른 범죄자금으로 사용되어 범죄를 확대재생산하고 있으므로 이를 적극 추적하여 환수하여야 하나, 수사 단서를 찾기가 쉽지 않음.2) 법무부장관은 범죄수익 등이 몰수ㆍ추징되어 국고로 귀속된 경우에는 신고자나 몰수ㆍ추징에 공로가 있는 자에게 포상금을 지급할 수 있도록 하되, 공무원이나 금융회사 등에 종사하는 사람이 신고한 경우에는 포상금을 감액하거나 지급하지 아니할 수 있도록 함.3) 국민들의 신고 의욕을 높이고, 수사기관으로 하여금 광범위한 정보를 제공받아 적극적으로 범죄수익을 환수하도록 하는 데 이바지할 것으로 기대됨.나. 중대범죄 추가(안 별표 제1호파목, 안 별표 제24호부터 제27호까지 신설)1) 부정 청탁, 유사석유제품의 제조ㆍ유통, 청소년ㆍ아동을 이용한 불법영업 등 재산상 부정한 이익을 얻기 위한 범죄로서 그 폐해가 심각한 범죄에 대해서는 이 법에 따른 중대범죄로 구분하여 범죄수익의 은닉ㆍ가장ㆍ수수 행위를 처벌하고 범죄수익을 철처히 환수할 필요가 있음.2) 「형법」에 따른 배임수증재(背任收贈財), 「석유 및 석유대체연료 사업법」에 따른 유사석유제품 제조 및 유통행위, 「청소년보호법」에 따른 청소년유해행위, 「아동ㆍ청소년의 성보호에 관한 법률」에 따른 아동ㆍ청소년 성매매 알선영업행위와 「정보통신망 이용촉진 및 정보보호 등에 관한 법률」에 따른 음란물 유통행위를 중대범죄에 추가하여 해당 범죄와 관계된 범죄수익을 박탈할 수 있도록 함.3) 중대범죄의 범행 동기가 되는 경제적 요인을 근원적으로 제거함으로써 건전한 사회질서를 유지하는 데 이바지할 것으로 기대됨.  ",법제사법위원회,[],정부,정부,,0
43,1814168,비혼 가정의 양육비 및 부양료 확보에 관한 법률안,2011-12-13,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제303회,"  ■  혼인관계에 있지 아니한 상태에서 자녀를 출산하여 혼자서 자녀를 양육하고 있는 비혼자 가정의 경우에는 양육부모 일방이 자녀의 양육과 생계를 책임져야 하기 때문에 경제적으로 어려운 현실에 처해있으나, 비양육부모로부터 양육비를 지급받기 위해서는 인지청구와 양육비 지급청구를 거쳐야 하기 때문에 실제로 양육비를 지급받는 것은 매우 어려운 현실임. 설령 양육비 지급판결을 받았다고 하더라고 이에 대한 집행력을 담보하기 어려운 사례가 많아 비혼자 가정의 자녀의 경우 경제적ㆍ심리적으로 안정된 생활을 하지 못하고 있는 실정임.OECD 국가의 사례를 살펴보면, 독일 등 18개 국가가 양육비 대지급제도를 운영하는 등 한부모 가정의 자녀양육을 위한 양육비 이행체계를 체계적으로 갖추어 자녀의 복리 증진을 기하고 있으며, UN 아동권리협약 제27조에서는 “모든 아동은 부모의 혼인상태와 무관하게 그 신체적, 지적, 정신적, 도덕적, 사회적 발달에 적합한 생활수준을 누릴 권리를 가져야 한다”고 규정하고 있음.이에 비혼자 가정의 자녀의 안정적인 생활을 위하여 비양육부모가 자녀의 양육비와 부양료를 지급하지 아니하는 경우에 국가가 우선 이를 대신 지급한 후에 비양육부모에게 구상권을 행사할 수 있도록 하고, 자녀의 인지청구와 양육비 청구에 수반되는 소송을 국가가 대행할 수 있도록 함으로써 비혼자 가정을 보호하고 자녀의 안정적인 양육을 도모하려는 것임. 가. 혼인관계에 있지 아니한 상태에서 자녀를 출산ㆍ양육하고 있는 모 또는 부가 자녀를 양육하고 있지 아니하는 부모 일방으로부터 양육비 또는 부양료를 지급받지 못하고 있는 경우에 국가가 이를 대신 지급함으로써 미성년 자녀가 경제적으로 안정된 환경에서 성장할 수 있도록 하는 것을 목적으로 함(안 제1조).나. 비혼모 또는 비혼부는 비양육부모가 양육비 또는 부양료를 지급하지 아니하는 경우에는 여성가족부장관에게 양육비 또는 부양료를 대신하여 지급할 것을 신청할 수 있음(안 제6조).다. 여성가족부장관은 대지급 신청을 받은 경우 비혼모 또는 비혼부에게 비양육부모를 대신하여 양육비 또는 부양료를 지급할 수 있음(안 제7조).라. 여성가족부장관은 양육비 또는 부양료를 대지급한 경우에 양육비 지급의무가 있는 비양육부모에 대하여 구상권을 행사할 수 있음(안 제12조).마. 여성가족부장관은 비혼모 또는 비혼부의 신청이 있는 경우 자녀의 인지청구와 양육비지급청구를 대행할 수 있고, 이러한 업무를 법률구조를 목적으로 하는 비영리법인에 위탁할 수 있음(안 제13조).바. 거짓이나 그 밖의 부정한 방법으로 양육비 또는 부양료를 대지급 받은 사람은 1년 이하의 징역 또는 1천만원 이하의 벌금에 처함(안 제16조).  ",여성가족위원회,"['우윤근', '김성곤', '김학재', '박영선', '박우순', '박은수', '안민석', '유선호', '이춘석', '장세환', '주승용']",우윤근,민주통합당,남성,1
44,1814165,주택법 일부개정법률안,2011-12-13,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제303회,"  ■  주택건설기준 등에 관한 규정에 따라 300세대 이상의 공동주택 단지에는 보육시설 설치를 의무화하고 있음. 이 보육시설은 대체로 지방자치단체 외의 자에게 임대를 하여 운영하고 있으나, 과도한 월 임대료 수준으로 인해 보육시설 운영의 어려움을 겪고 있으며 이는 해당 보육시설을 이용하는 영유아의 보육서비스의 질을 떨어뜨리는 부작용을 야기하고 있음. 특히, 영유아보육법 제38조에 따라 어린이집에서 보호자로부터 받을 수 있는 보육료 상한제를 적용하고 있는 구조에서 과도한 월 임대료의 문제는 더욱 큼. 또한, 공동주택 단지에 설치된 보육시설은 주택임대차보호법과 상가임대차보호법의 적용을 받지 못 함에 따라 임대차기간이 1년에 미치지 못 하는 사례도 발생하는 등 지나치게 짧은 임대차기간으로 인해 보육시설 임차인이 시설환경개선에의 투자를 어렵게 하는 등의 문제점을 낳아 이 또한 영유아의 보육서비스의 질을 떨어뜨리는 부작용을 낳고 있음.이에, 공동주택 내에 설치된 보육시설을 임대할 경우, 월 임대료 상한제를 도입하고 최저 임대차기간과 계약갱신요구권을 설정하여 해당 보육시설의 안정적인 운영을 보장함과 동시에 영유아 보육서비스의 질을 높이고자 함 가. 관리주체가 공동주택에 설치된 보육시설을 지방자치단체 외의 자에게 임대할 경우에 임대료는 시도지사가 정하는 공동주택관리규약 준칙에서 정하는 수준을 초과할 수 없음(안 제45조의2 신설).나. 관리주체가 공동주택에 설치된 보육시설을 지방자치단체 외의 자에게 임대할 경우에 3년 미만으로 정한 임대차는 그 기간을 3년으로 봄(안 제45조의3 신설).다. 관리주체가 공동주택에 설치된 보육시설을 지방자치단체 외의 자에게 임대하고 있는 경우에 임차인은 최장 5년의 임대차기간 이내에 계약갱신요구권을 행사할 수 있음(안 제45조의4 신설).  ",국토해양위원회,"['최영희', '강기정', '김재윤', '박은수', '백원우', '양승조', '이미경', '정범구', '조정식', '추미애']",최영희,민주통합당,여성,3
45,1814139,가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안,2011-12-09,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제303회,"  ■  종래 민법 상 한정치산·금치산 제도가 용어 자체로 차별적 의미가 있으며 장애 정도의 고려 없이 한정치산·금치산 선고만을 인정, 일률적으로 개인의 행위능력을 박탈 또는 제한한다는 비판이 있었음.이에 지난 ‘11년 3월 민법개정안 국회 통과에 따라 판단능력이 불완전한 장애인과 노인을 위해 재산의 관리, 사회복지의 수혜, 기타 사회생활에 필요한 사무를 처리할 수 있는 성년후견제도가 도입되었음.이처럼 종전의 한정치산·금치산 제도가 폐지되었음에도 기존 법률에는 여전히 이 같은 용어들이 존재, 이를 일괄해 정비하려는 것임. 긴급센터의 장, 상담소의 장, 보호시설의 장 또는 그 밖에 긴급전화센터·상담소 및 보호시설 종사자의 결격사유에서 금치산자·한정치산자를 삭제함(제8조의2제1항제1호).  ",여성가족위원회,"['박은수', '강창일', '김부겸', '백원우', '양승조', '이미경', '전현희', '조영택', '주승용', '최영희']",박은수,민주통합당,남성,3
46,1814135,모자보건법 일부개정법률안,2011-12-09,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제303회,"   종래 「민법」상 한정치산？금치산 제도가 용어 자체로 차별적 의미가 있으며 장애 정도의 고려 없이 한정치산？금치산 선고만을 인정, 일률적으로 개인의 행위능력을 박탈 또는 제한한다는 비판이 있었음.이에 지난 ‘11년 3월 「민법」 개정안 국회 통과에 따라 판단능력이 불완전한 장애인과 노인을 위해 재산의 관리, 사회복지의 수혜, 기타 사회생활에 필요한 사무를 처리할 수 있는 성년후견제도가 도입되었음.이처럼 종전의 한정치산？금치산 제도가 폐지되었음에도 기존 법률에는 여전히 이같은 용어들이 존재, 이를 일괄해 정비하려는 것임. 산후조리원 설치？운영 결격사유에서 금치산자？한정치산자를 삭제함(안 제15조의2제1호 삭제).  ",보건복지위원회,"['박은수', '강창일', '김부겸', '백원우', '양승조', '이미경', '전현희', '조영택', '주승용', '최영희']",박은수,민주통합당,남성,3
47,1814121,성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안,2011-12-09,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제303회,"   종래 민법 상 한정치산·금치산 제도가 용어 자체로 차별적 의미가 있으며 장애 정도의 고려 없이 한정치산·금치산 선고만을 인정, 일률적으로 개인의 행위능력을 박탈 또는 제한한다는 비판이 있었음.이에 지난 ‘11년 3월 민법개정안 국회 통과에 따라 판단능력이 불완전한 장애인과 노인을 위해 재산의 관리, 사회복지의 수혜, 기타 사회생활에 필요한 사무를 처리할 수 있는 성년후견제도가 도입되었음.이처럼 종전의 한정치산·금치산 제도가 폐지되었음에도 기존 법률에는 여전히 이같은 용어들이 존재, 이를 일괄해 정비하려는 것임. 상담원 등의 자격제한 요건에서 금치산자·한정치산자를 삭제함(제19조제1항제1호 삭제).  ",여성가족위원회,"['박은수', '강창일', '김부겸', '백원우', '양승조', '이미경', '전현희', '조영택', '주승용', '최영희']",박은수,민주통합당,남성,3
48,1814090,영유아보육법 일부개정법률안,2011-12-09,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제303회,"   종래 「민법」상 한정치산·금치산 제도가 용어 자체로 차별적 의미가 있으며 장애 정도의 고려 없이 한정치산·금치산 선고만을 인정, 일률적으로 개인의 행위능력을 박탈 또는 제한한다는 비판이 있었음.이에 지난 ‘11년 3월 「민법」 개정안 국회 통과에 따라 판단능력이 불완전한 장애인과 노인을 위해 재산의 관리, 사회복지의 수혜, 기타 사회생활에 필요한 사무를 처리할 수 있는 성년후견제도가 도입되었음.이처럼 종전의 한정치산·금치산 제도가 폐지되었음에도 기존 법률에는 여전히 이같은 용어들이 존재, 이를 일괄해 정비하려는 것임. 어린이집 설치·운영 자격제한 요건에서 금치산자·한정치산자를 삭제함(안 제16조제1호).  ",보건복지위원회,"['박은수', '강창일', '김부겸', '백원우', '양승조', '이미경', '전현희', '조영택', '주승용', '최영희']",박은수,민주통합당,남성,3
49,1814052,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,2011-12-08,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제303회,"    및  최근 인터넷을 통한 불법적인 음란화상채팅사이트의 운영이 확대됨에 따라 국민들의 정서에 악영향을 미치고 부당한 금전적 이득을 취함과 동시에 이를 악용한 세금탈루와 범죄수익금 분산이라는 범죄가 나날이 증가하여 우리 사회의 중대한 문제로 떠오르고 있음.그러나, 현행법에 따른 처벌수준은 해당 범죄의 죄질과 비교하였을 때 현저히 낮은 수준이므로, 해당 범죄로부터 우리 사회와 국민을 보호하기 위하여 처벌조항을 강화할 필요성이 있음.이에 음란한 부호·문언·음향·화상 또는 영상을 배포·판매·임대하거나 공공연하게 전시한 자에 대한 벌칙을 1년 이상 3년 이하의 징역 또는 1천만원 이상 3천만원 이하의 벌금으로 강화함(안 제72조제1항 신설).  ",문화체육관광방송통신위원회,"['정영희', '권경석', '노철래', '변웅전', '심대평', '유정현', '윤상일', '윤석용', '이영애', '이윤성', '조경태']",정영희,새누리당,여성,2
50,1814029,산업재해보상보험법 일부개정법률안,2011-12-07,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제303회,    및  현행법에서는 유족보상연금 수급자격을 해당 근로자의 처의 경우는 연령과 관계없이 주는데 반해 남편의 경우는 60세 이상인 자에게만 주고 있어 남녀차별이라는 의견이 제기되고 있음.또한 2007년 개정된 「국민연금법」은 남녀차별적인 요소를 없애기 위해 남·녀 배우자 모두 연령에 관계없이 유족연금을 지급받을 수 있는 유족의 범위에 포함되도록 하였음.이에 유족보상연금 수급자격자의 범위에 있어서 남자배우자의 연령제한을 삭제하려는 것임(안 제63조제1항).  ,환경노동위원회,"['원희목', '손숙미', '신상진', '윤석용', '이낙연', '이영애', '이춘식', '전현희', '최영희', '허원제']",원희목,새누리당,남성,4
51,1814001,차별금지법안,2011-12-02,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제303회,"  ■  「대한민국헌법」의 평등이념에 따라 성별, 장애, 병력, 나이, 언어, 출신국가, 출신민족, 인종, 피부색, 출신지역, 용모 등 신체조건, 혼인여부, 임신 또는 출산, 가족형태 및 가족상황, 종교, 사상 또는 정치적 의견, 전과, 성적지향, 성별정체성, 학력(學歷), 고용형태, 사회적신분 등을 이유로 한 정치적ㆍ경제적ㆍ사회적ㆍ문화적 생활의 모든 영역에서 합리적인 이유 없는 차별을 금지ㆍ예방하고 복합적으로 발생하는 차별을 효과적으로 다룰 수 있는 포괄적이고 실효성 있는 차별금지 기본법을 제정함으로써 정치·경제·사회·문화의 모든 영역에서 평등을 추구하는 헌법 이념을 실현하고, 실효적인 차별구제수단들을 도입하여 차별피해자에 대한 신속하고 실질적인 구제를 도모하고자 함. 가. 차별금지에 관한 기본법적 성격에 비추어 「국가인권위원회법」 상의 차별금지사유를 기본으로 하면서 성별, 장애, 병력, 나이, 언어, 출신국가, 출신민족, 인종, 피부색, 출신지역, 용모 등 신체조건, 혼인여부, 임신 또는 출산, 가족형태 및 가족상황, 종교, 사상 또는 정치적 의견, 전과, 성적지향, 성별정체성, 학력(學歷), 고용형태, 사회적신분 등으로 구체화하여 규정함.나. 고용, 재화ㆍ용역 등의 공급이나 이용, 교육기관의 교육 및 직업훈련 등의 영역에서 합리적 이유 없이 성별, 장애, 병력, 나이, 언어, 출신국가, 출신민족, 인종, 피부색, 출신지역, 용모 등 신체조건, 혼인여부, 임신 또는 출산, 가족형태 및 가족상황, 종교, 사상 또는 정치적 의견, 전과, 성적지향, 성별정체성, 학력, 고용형태, 사회적 신분 등(이하 “성별등”이라 한다)을 이유로 특정 개인이나 집단을 분리ㆍ구별ㆍ제한ㆍ배제ㆍ거부하거나 불리하게 대우하는 행위를 금지되는 차별로 금지함(안 제3조제1항제1호).다. 외견상 중립적인 기준을 적용하였으나 그에 따른 결과가 특정집단이나 개인에게 불리한 결과를 초래한 간접차별도 차별로 규정하고, 성별 등을 이유로 특정 개인 및 집단에 대하여 신체적ㆍ정신적 고통을 주는 괴롭힘 행위 및 차별의 표시ㆍ조장 광고 행위도 차별로 금지함(안 제3조제1항제2호부터 제4호까지).라. 차별 관련 정책을 체계적으로 추진하기 위하여 정부는 차별시정기본계획을 5년마다 수립하고, 국가인권위원회는 차별시정기본계획 권고안을 마련하여 차별시정기본계획을 수립하기 1년 전까지 대통령에게 제출하며, 중앙행정기관 등은 세부시행계획을 수립하도록 함(안 제6조부터 제8조까지).마. 고용, 재화·용역·교통수단·상업시설·토지·주거시설·의료서비스·문화 등의 공급이나 이용, 교육기관의 교육기회 및 교육내용, 참정권 등 행정서비스 및 수사ㆍ재판상의 차별예방을 위한 조치, 성별 등을 이유로 한 괴롭힘 금지 등 영역별 차별금지 유형을 구체화하여 규정함(안 제10조부터 제33조까지).바. 국가인권위원회는 차별행위로 인정된 사건 중에서 피진정인이 국가인권위원회의 결정에 불응하고 사안이 중대하다고 판단하는 경우에 해당 사건의 소송을 지원할 수 있도록 함(안 제37조).사. 법원이 피해자의 청구에 따라 차별의 중지 등 그 시정을 위한 적극적 조치 및 손해배상 등의 판결을 할 수 있도록 하며, 차별행위가 악의적인 것으로 인정되는 경우 재산상 손해액 외에 손해액의 2배 이상 5배 이하에 이르는 별도의 배상금을 지급하도록 함(안 제39조).아. 차별행위의 피해자와 그 상대방이 가지고 있는 정보 및 정보에 대한 접근성의 차이가 있어 피해자로서는 차별을 입증하기가 곤란한 경우가 많으므로 차별에 해당하는 행위가 있었다는 사실의 입증책임은 차별을 당했다고 주장하는 자가 부담하도록 하고, 그 행위가 이 법에서 금지한 차별이 아니라거나 정당한 사유가 있었다는 점의 입증책임은 차별을 받았다고 주장하는 자의 상대방이 부담하도록 함(안 제40조).자. 고용과 관련하여 차별의 피해를 받았다고 주장하는 자는 사용자에게 그 기준 등에 대하여 문서로 정보를 공개하도록 청구할 수 있도록 하고, 사용자는 정당한 사유가 없으면 이를 거부할 수 없도록 함(안 제41조).차. 사용자 및 임용권자, 교육기관의 장은 차별을 받았다고 주장하는 자 또는 그 관계자가 이 법에서 정한 구제절차의 준비 및 진행 과정에서 국가인권위원회에 진정, 증언, 자료 등의 제출을 하거나 답변을 하였다는 이유로 해고, 전보, 징계, 퇴학, 그 밖에 신분이나 처우와 관련하여 불이익한 조치를 하지 못하며, 이를 위반한 경우 2년 이하의 징역 또는 1천만원 이하의 벌금에 처하도록 함(안 제42조 및 제43조).  ",법제사법위원회,"['권영길', '강기갑', '곽정숙', '김선동', '안민석', '유성엽', '유원일', '이정희', '조승수', '홍희덕']",권영길,통합진보당,남성,2
52,1813979,고용정책 기본법 일부개정법률안,2011-12-02,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제303회,"   취업기회의 균등한 보장을 위해서 사업주는 근로자를 모집·채용할 때에 합리적인 이유 없이 성별, 신앙, 연령, 신체조건, 사회적 신분, 출신지역, 출신학교, 혼인·임신 또는 병력(病歷) 등을 이유로 차별 할 수 없도록 하고 있음.이 가운데 성별의 경우 다른 법률에 의해 벌칙조항이 있으나 그 외의 경우 벌칙조항이 없어 실효성이 부족한 실정임.따라서 이에 대한 벌칙조항을 추가하고자 함. 제7조제1항에 해당하는 위반행위를 한 경우에는 500만원 이하의 벌금에 처함(안 제41조제1항 신설).  ",환경노동위원회,"['강성종', '강창일', '김영록', '문학진', '박우순', '박은수', '백재현', '서종표', '우제창', '조영택']",강성종,민주통합당,남성,0
53,1813956,영유아보육법 일부개정법률안,2011-11-29,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제303회,"  ■  현재 보육료는 소득하위 70% 이하의 영유아(0-5세)에 대해 지원하고 있으며, 양육수당은 차상위 계층 이하의 영아(0-2세)에 대해 지원하고 있음.보육은 다른 복지급여와 달리 미래 인적 자본에 대한 투자로, 국가동량인 영유아의 성장·발달을 지원하기 위하여 지원을 지속적으로 확대할 필요가 있음.이에 모든 영유아에 대한 무상보육의 근거를 마련하여 영유아의 건전한 성장·발달을 지원하고 부모의 경제적 부담을 완화하고자 함. 가. 국가나 지방자치단체는 보육에 필요한 비용의 전부 또는 일부를 부담하여야 함(안 제34조제1항).나. 영유아 및 장애아에 대한 보육은 무상으로 하되, 대통령령으로 정하는 바에 따라 순차적으로 실시함(안 제35조).  ",보건복지위원회,"['안홍준', '권경석', '김기현', '서상기', '손범규', '신성범', '원희목', '유재중', '유정복', '이주영', '이진복', '이춘식']",안홍준,새누리당,남성,0
54,1813931,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,2011-11-24,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제303회,    및  현행법상 남성의 배우자 출산 휴가는 출산한 날부터 30일이 지나면 청구할 수 없도록 규정되어 있으나 청구기간이 30일에 불과하여 배우자 출산휴가를 필요한 상황에 사용하기 어렵다는 지적이 있음.이에 배우자의 출산휴가 청구기간을 출산한 날로부터 60일로 확대하여 남성들의 육아에 대한 권익을 높이고 저출산 극복을 위해 도움이 되고자 하는 것임.  ,환경노동위원회,"['전현희', '강기정', '김상희', '김영록', '김우남', '김효석', '박은수', '백원우', '주승용', '최규식']",전현희,민주통합당,여성,2
55,1813881,성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안,2011-11-17,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제303회,"   장애인 성폭력 피해자의 경우 장애로 인한 취약성 때문에 성폭력 피해 사실이 잘 드러나지 않거나 지속되는 등의 문제가 있어 장애 특성에 대한 이해를 갖춘 전문가의 지원이 필요하나, 성폭력 피해자에 대한 일차적 지원 기관이라고 할 수 있는 통합지원센터에조차도 장애인 성폭력 피해자를 위한 상담원 등 종사자를 필수적으로 두도록 하지 아니하고 있어 장애인 성폭력 피해자에 대한 효과적인 지원이 어려운 실정임.또한, 현행 성폭력 예방교육의 경우 국가, 지방자치단체 및 유치원·보육시설·각급학교의 장에 대하여 교육을 실시하여야 할 의무만을 부여하고 이에 대한 관리나 지원이 이루어지지 아니하고 있어 실제 현장에서는 해당 교육이 형식적인 내용에 그치는 경우가 많음.이에 통합지원센터에 장애인 성폭력 피해자등을 지원할 수 있는 상담원 등 종사자를 필수적으로 두도록 의무를 부여하고, 성폭력 예방교육의 실시 결과를 여성가족부장관에게 제출하도록 하며, 여성가족부장관은 효과적인 성폭력 예방교육 등 프로그램을 개발·제공하도록 함으로써 장애인 성폭력 피해자에 대한 지원을 강화하고 성폭력 예방교육 등의 교육 효과를 제고하려는 것임. 가. 관계 중앙행정기관의 장, 시·도지사 및 유치원·보육시설·각급학교의 장은 성폭력 예방에 필요한 교육 등을 실시하고 그 결과를 여성가족부장관에게 제출하여야 함(안 제5조제1항 및 제2항).나. 여성가족부장관은 성교육 및 성폭력 예방교육 프로그램 등을 지속적으로 개발ㆍ제공하여야 함(안 제5조제3항).다. 통합지원센터에는 장애인 피해자등을 지원할 수 있는 상담원 등 종사자를 두도록 함(안 제18조제3항).  ",여성가족위원회,"['이상권', '김광림', '김세연', '김재균', '김태호', '박민식', '유일호', '유재중', '이정선', '이화수', '조경태']",이상권,새누리당,남성,1
56,1813851,학교폭력예방 및 대책에 관한 법률 일부개정법률안,2011-11-11,의원,2012-02-27,대안반영폐기,제18대 (2008~2012) 제303회," "" 최근 학교폭력(성폭력, 사망사고 등 포함)의 양상은 은밀화, 집단화, 지속화되는 등 갈수록 심각해지고 있음에도 불구하고, 일선학교들은 학교의 명예가 실추될 것을 우려하여 내부적으로 무마하거나 상담 등 소극적인 방법으로 일관하는 등 사실상 학교폭력(성폭력, 사망사고 등 포함)이 방치되고 있는 상황임.학교폭력(성폭력, 사망사고 등 포함)은 그 특성상 방치될 경우 그 강도가 갈수록 더해져 성폭력, 사망 사고와 같은 끔직한 사건으로 확대될 수 있다는 점이 여러 사건을 통해 드러난 바 있고, 사소한 무질서일지라도 방치될 경우 큰 범죄로 이어지게 된다는 ‘깨진 유리창 이론(Broken Windows Theory)  등 심리학 이론을 통해 이론적으로도 증명된 바 있음.그러나 현행법은 학교폭력(성폭력, 사망사고 등 포함) 신고의무를 포괄적으로 규정하면서 그 위반에 관한 제재규정은 규정하고 있지 않아 교원이 신고의무를 위반한 경우에도 그 위반행위에 대한 징계 등의 조치가 이루어지지 않는 문제점이 있음.영화 ‘도가니’를 통해 알려진 ‘인화학교’ 성폭력 사건의 경우, 성범죄 발생사실을 신고하지 않거나 사건을 허위·축소 신고 및 증거인멸 하는 등 사건을 조작·은폐하려는 시도가 있었음.이에, 교원이 학교폭력(성폭력, 사망사고 등 포함) 신고의무를 위반한 경우에는 징계책임을 부담한다는 것을 법률에 명확히 규정하는 등 학교폭력이 방치되고 있는 제도적 상황을 개선함으로써 우리 헌법이 국가에게 부과하고 있는 국민의 기본권 보호의무의 이행을 보다 충실히 하려는 것임. 가. 교원의 학교폭력 신고의무 이행 절차의 명확화(안 제20조제5항 신설 등)교원이 소속 학교 학생이 관련된 학교폭력 현장을 보거나 그 사실을 알게 되는 등의 경우에는 즉시 가해학생과 피해학생의 학교의 장과 자치위원회에 보고하도록 의무화함.나. 학교폭력 신고의무 위반 교원에 대한 징계(안 제20조의2 신설)교원이 학교폭력 신고의무를 위반하는 경우 해당 교원의 임면권자가 징계위원회 등에 징계의 의결을 요구하여야 한다는 것을 명문화함으로써 신고의무 위반 시 제재조치를 명확히 함."" ",교육과학기술위원회,"['이재오', '강승규', '권택기', '박상은', '손숙미', '신상진', '안경률', '안상수', '원희목', '이춘식', '임동규', '장제원', '조문환', '진수희', '진영', '허천']",이재오,새누리당,남성,2
57,1813847,아동·청소년의 성보호에 관한 법률 일부개정법률안,2011-11-11,의원,2012-05-29,임기만료폐기,제18대 (2008~2012) 제303회,"    및  아동ㆍ청소년에 대한 성범죄는 ‘영혼을 파괴하는 범죄’로서 은밀하게 피해가 지속되는 특성이 있으므로 조기 발견을 통하여 추가 피해의 발생을 예방하는 제도적 장치의 마련이 중요한 과제임.현행법은 학교 교사 등이 직무상 아동·청소년에 대한 성범죄의 발생 사실을 알게 된 경우 수사기관에 신고하도록 의무를 부여하고 있으나 의무 위반 시 기관 내부적으로도 적극적으로 중한 징계책임을 묻지 않고 있고, 현행법상으로도 신고의무 위반에 대한 제재의 정도가 300만원 이하의 과태료로 매우 미약하여, 기관의 명예 실추 등을 우려한 조직적 축소ㆍ은폐 시도 등이 드러나고 있는 실정임.실례로, 영화 ‘도가니’를 통해 알려진 ‘인화학교’ 성폭력 사건의 경우, 성범죄 발생사실을 신고하지 않거나 사건을 거짓ㆍ축소 신고 및 증거인멸 하는 등 사건을 조작ㆍ은폐하려는 시도가 있었음.따라서 학교 교사 등 아동·청소년에 대한 성범죄의 신고 의무가 있는 사람이 그 의무를 게을리하거나 거짓 신고한 경우 기관 내부적인 제재수단으로서 중징계를 내리도록 하는 한편, 아동ㆍ청소년 대상 성범죄 관련 신고의무 위반에 대해 부과되는 현행 ‘300만원 이하의 과태료’를 ‘200만원 이하의 벌금’으로 강화하는 등 사건 초기 단계에서 추가 피해 차단을 담보할 수 있는 제도적 장치를 마련함으로써 우리 헌법 제10조가 국가에 부과하고 있는 국민의 기본권 보호의무의 이행을 보다 충실히 하려는 것임(안 제22조의2 및 제52조제4항 신설).  ",여성가족위원회,"['이재오', '강승규', '권택기', '박상은', '손숙미', '신상진', '안경률', '안상수', '원희목', '이춘식', '임동규', '장제원', '조문환', '진수희', '진영', '허천']",이재오,새누리당,남성,2
